"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
499,"ABC-liikennemyymälä","Rahtarinkatu 2",980,"Helsinki","Niinisaari",NA,"Liikennemyymälät","Rahtarinkatu 2,Helsinki","60.2251813","25.1679698"
588,"ABC-liikennemyymälä","Koivukylänväylä 66",1390,"Vantaa","Koivukylä",NA,"Liikennemyymälät","Koivukylänväylä 66,Vantaa","60.324378","25.0242011"
593,"Accessorize","Leppävaarankatu 3-9",2600,"Espoo","Etelä-Leppävaara",NA,"Vaatekaupat","Leppävaarankatu 3-9,Espoo","60.2188216","24.8128941"
594,"Accessorize","Urho Kekkosen katu 1",100,"Helsinki","Kamppi",NA,"Vaatekaupat","Urho Kekkosen katu 1,Helsinki","60.1694465","24.932871"
595,"Accessorize","Mannerheimintie 20 A",100,"Helsinki","Kluuvi",NA,"Vaatekaupat","Mannerheimintie 20 A,Helsinki","60.1916307","24.912036"
596,"Adatto","Asematie 3",1300,"Vantaa","Tikkurila",NA,"Vaatekaupat","Asematie 3,Vantaa","60.2933366","25.0380468"
597,"Adatto Oy","Asematie 3",1300,"Vantaa","Tikkurila",NA,"Vaatekaupat","Asematie 3,Vantaa","60.2933366","25.0380468"
598,"AF-Systems","Kirstinkatu 15",510,"Espoo","Suvela",NA,"Tietokoneliikkeet","Kirstinkatu 15,Espoo","60.2026412","24.6697062"
691,"Aino","Pohjoisesplanadi 21",100,"Helsinki","Kluuvi",NA,"Ravintolat","Pohjoisesplanadi 21,Helsinki","60.1677322","24.9459574"
692,"Aino-Shop","Fredrikinkatu 33",120,"Helsinki","Punavuori",NA,"Vaatekaupat","Fredrikinkatu 33,Helsinki","60.1633713","24.9385948"
696,"Akateeminen Kirjakauppa","Länsituulentie 10",2100,"Espoo","Tapiola",NA,"Kirjakaupat","Länsituulentie 10,Espoo","60.1758991","24.8039275"
697,"Akateeminen Kirjakauppa","Keskuskatu 1",101,"Helsinki","Kluuvi",NA,"Kirjakaupat","Keskuskatu 1,Helsinki","60.16951905","24.94285639283"
698,"Akateeminen Kirjakauppa","Itäkatu 1 C",930,"Helsinki","Itäkeskus",NA,"Kirjakaupat","Itäkatu 1 C,Helsinki","60.2092277","25.0763207"
702,"Akateeminen Kirjakauppa","Vantaanportinkatu 3",1510,"Vantaa","Pakkala",NA,"Kirjakaupat","Vantaanportinkatu 3,Vantaa","60.2925143","24.9619895"
706,"Aktia pankki","Espoonlahdenkatu 1",2320,"Espoo","Espoonlahti",NA,"Pankit","Espoonlahdenkatu 1,Espoo","60.149223","24.6568186"
707,"Aktia pankki","Kamreerintie 5",2770,"Espoo","Suvela",NA,"Pankit","Kamreerintie 5,Espoo","60.2041165","24.6520647"
708,"Aktia pankki","Länsituulenkuja 3",2100,"Espoo","Tapiola",NA,"Pankit","Länsituulenkuja 3,Espoo","60.1754242","24.8033595"
710,"Aktia pankki","Itäkatu 1-5",930,"Helsinki","Itäkeskus",NA,"Pankit","Itäkatu 1-5,Helsinki","60.2092277","25.0763207"
711,"Aktia pankki","Hakaniemenranta 1",530,"Helsinki","Siltasaari",NA,"Pankit","Hakaniemenranta 1,Helsinki","60.1781587","24.9569305"
712,"Aktia pankki","Kantelettarentie 1",420,"Helsinki","Kannelmäki",NA,"Pankit","Kantelettarentie 1,Helsinki","60.2373166","24.8908148"
713,"Aktia pankki","Mannerheimintie 14",100,"Helsinki","Kluuvi",NA,"Pankit","Mannerheimintie 14,Helsinki","60.1862098","24.9208084"
