"Postinumeroalue","Asukkaat.yhteensä..2013..HE.","Naiset..2013..HE.","Miehet..2013..HE.","Asukkaiden.keski.ikä..2013..HE.","X0.2.vuotiaat..2013..HE.","X3.6.vuotiaat..2013..HE.","X7.12.vuotiaat..2013..HE.","X13.15.vuotiaat..2013..HE.","X16.17.vuotiaat..2013..HE.","X18.19.vuotiaat..2013..HE.","X20.24.vuotiaat..2013..HE.","X25.29.vuotiaat..2013..HE.","X30.34.vuotiaat..2013..HE.","X35.39.vuotiaat..2013..HE.","X40.44.vuotiaat..2013..HE.","X45.49.vuotiaat..2013..HE.","X50.54.vuotiaat..2013..HE.","X55.59.vuotiaat..2013..HE.","X60.64.vuotiaat..2013..HE.","X65.69.vuotiaat..2013..HE.","X70.74.vuotiaat..2013..HE.","X75.79.vuotiaat..2013..HE.","X80.84.vuotiaat..2013..HE.","X85.vuotta.täyttäneet..2013..HE.","X18.vuotta.täyttäneet.yhteensä..2012..KO.","Perusasteen.suorittaneet..2012..KO.","Koulutetut.yhteensä..2012..KO.","Ylioppilastutkinnon.suorittaneet..2012..KO.","Ammatillisen.tutkinnon.suorittaneet..2012..KO.","Alemman.korkeakoulututkinnon.suorittaneet..2012..KO.","Ylemmän.korkeakoulututkinnon.suorittaneet..2012..KO.","X18.vuotta.täyttäneet.yhteensä..2012..HR.","Asukkaiden.keskitulot..2012..HR.","Asukkaiden.mediaanitulot..2012..HR.","Alimpaan.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Keskimmäiseen.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Ylimpään.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Asukkaiden.ostovoimakertymä..2012..HR.","Taloudet.yhteensä..2013..TE.","Talouksien.keskikoko..2013..TE.","Asumisväljyys..2013..TE.","Nuorten.yksinasuvien.taloudet..2013..TE.","Lapsettomat.nuorten.parien.taloudet..2013..TE.","Lapsitaloudet..2013..TE.","Pienten.lasten.taloudet..2013..TE.","Alle.kouluikäisten.lasten.taloudet..2013..TE.","Kouluikäisten.lasten.taloudet..2013..TE.","Teini.ikäisten.lasten.taloudet..2013..TE.","Aikuisten.taloudet..2013..TE.","Eläkeläisten.taloudet..2013..TE.","Omistusasunnoissa.asuvat.taloudet..2013..TE.","Vuokra.asunnoissa.asuvat.taloudet..2013..TE.","Muissa.asunnoissa.asuvat.taloudet..2013..TE.","Taloudet.yhteensä..2012..TR.","Talouksien.keskitulot..2012..TR.","Talouksien.mediaanitulot..2012..TR.","Alimpaan.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Keskimmäiseen.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Ylimpään.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Talouksien.ostovoimakertymä..2012..TR.","Kesämökit.yhteensä..2013..RA.","Rakennukset.yhteensä..2013..RA.","Muut.rakennukset.yhteensä..2013..RA.","Asuinrakennukset.yhteensä..2013..RA.","Asunnot..2013..RA.","Asuntojen.keskipinta.ala..2013..RA.","Pientaloasunnot..2013..RA.","Kerrostaloasunnot..2013..RA.","Työpaikat.yhteensä..2012..TP.","Alkutuotannon.työpaikat..2012..TP.","Jalostuksen.työpaikat..2012..TP.","Palveluiden.työpaikat..2012..TP.","A.Maatalous..metsätalous.ja.kalatalous..2012..TP.","B.Kaivostoiminta.ja.louhinta..2012..TP.","C.Teollisuus..2012..TP.","D.Sähkö...kaasu..ja.lämpöhuolto..jäähdytysliiketoiminta..2012..TP.","E.Vesihuolto..viemäri..ja.jätevesihuolto.ja.muu.ympäristön.puhtaanapito..2012..TP.","F.Rakentaminen..2012..TP.","G.Tukku..ja.vähittäiskauppa..moottoriajoneuvojen.ja.moottoripyörien.korjaus..2012..TP.","H.Kuljetus.ja.varastointi..2012..TP.","I.Majoitus..ja.ravitsemistoiminta..2012..TP.","J.Informaatio.ja.viestintä..2012..TP.","K.Rahoitus..ja.vakuutustoiminta..2012..TP.","L.Kiinteistöalan.toiminta..2012..TP.","M.Ammatillinen..tieteellinen.ja.tekninen.toiminta..2012..TP.","N.Hallinto..ja.tukipalvelutoiminta..2012..TP.","O.Julkinen.hallinto.ja.maanpuolustus..pakollinen.sosiaalivakuutus..2012..TP.","P.Koulutus..2012..TP.","Q.Terveys..ja.sosiaalipalvelut..2012..TP.","R.Taiteet..viihde.ja.virkistys..2012..TP.","S.Muu.palvelutoiminta..2012..TP.","T.Kotitalouksien.toiminta.työnantajina..kotitalouksien.eriyttämätön.toiminta.tavaroiden.ja.palveluiden.tuottamiseksi.omaan.käyttöön..2012..TP.","U.Kansainvälisten.organisaatioiden.ja.toimielinten.toiminta..2012..TP.","X.Toimiala.tuntematon..2012..TP.","Asukkaat.yhteensä..2012..PT.","Työvoima..2012..PT.","Työlliset..2012..PT.","Työttömät..2012..PT.","Työvoiman.ulkopuolella.olevat..2012..PT.","Lapset.0.14..vuotiaat..2012..PT.","Opiskelijat..2012..PT.","Eläkeläiset..2012..PT.","Muut..2012..PT.","zip","pa","kaupunki","maa","zippa","lat","lon"
"00730 Tapanila  (Helsinki)",11205,5899,5306,38,396,599,834,403,297,314,590,662,792,830,712,915,995,841,701,565,346,202,131,80,8716,2105,6611,923,3226,1105,1357,8716,26099,24225,1348,4728,2640,2.27475e+08,5035,2.2,33.9,368,240,1449,355,690,635,553,2599,1004,2922,2006,107,5058,45173,38688,748,2862,1448,2.28485e+08,1,1834,113,1721,5275,75.3,2532,2743,1228,13,224,991,13,0,36,0,0,188,148,118,52,13,1,10,83,82,0,171,168,89,56,0,0,0,11313,6306,5859,447,5007,2140,866,1636,365,730,"Tapanila","Helsinki","finland","00730 Helsinki finland",60.2613,25.0216
"00740 Siltamäki  (Helsinki)",10116,5209,4907,39,347,488,706,361,260,309,760,610,665,624,617,761,731,622,648,672,368,281,189,97,7886,2422,5464,903,3030,822,709,7886,23375,22008,1504,4544,1838,1.84334e+08,4359,2.3,34.2,225,261,1261,312,587,517,487,1957,1157,2840,1438,81,4321,42380,36586,822,2514,985,1.83125e+08,0,1487,107,1380,4508,77.7,2232,2276,1276,3,157,1116,3,0,51,0,0,106,235,154,37,13,3,8,53,84,0,126,359,22,22,0,0,0,10044,5016,4688,328,5028,1767,907,1965,389,740,"Siltamäki","Helsinki","finland","00740 Helsinki finland",60.2762,25.0051
"00750 Puistola  (Helsinki)",9202,4798,4404,38,360,473,584,289,224,241,692,675,685,651,563,714,689,610,604,461,284,169,125,109,7202,2138,5064,773,2685,799,807,7202,23205,21906,1426,4169,1607,1.67124e+08,4291,2.1,33.6,394,219,1137,325,585,446,405,2300,880,2063,2135,93,4249,39440,32603,954,2414,881,1.67581e+08,5,1344,119,1225,4402,72.3,1799,2603,2251,1,431,1819,1,0,138,0,4,289,647,169,138,27,8,37,93,174,0,38,445,21,22,0,0,0,9122,4894,4455,439,4228,1588,777,1416,447,750,"Puistola","Helsinki","finland","00750 Helsinki finland",60.2821,25.025
"00760 Suurmetsä  (Helsinki)",7734,3955,3779,39,249,441,621,349,234,241,394,310,439,514,492,653,661,572,480,464,263,172,127,58,5834,1396,4438,587,2328,675,848,5834,27881,25399,938,2901,1995,1.62658e+08,3004,2.6,34.9,84,106,1048,221,475,461,457,1214,762,2279,668,57,3007,54295,49809,339,1619,1049,1.63264e+08,1,1635,125,1510,3152,89.3,2517,635,1441,1,538,902,1,0,181,0,0,357,200,261,58,15,3,5,43,99,0,123,64,23,8,0,0,0,7733,4027,3820,207,3706,1529,671,1260,246,760,"Suurmetsä","Helsinki","finland","00760 Helsinki finland",60.2727,25.0534
"00770 Jakomäki  (Helsinki)",6433,3367,3066,39,247,265,380,204,151,208,586,509,417,355,379,491,457,359,312,400,256,238,124,95,4825,2224,2601,381,1812,235,173,4825,18965,18184,1022,3323,480,9.15039e+07,3336,1.9,32.7,341,124,738,226,386,286,274,1690,911,851,2421,64,3094,29703,25036,957,1901,236,9.18998e+07,0,485,287,198,3471,62.6,189,3282,1741,0,732,1009,0,0,152,0,83,497,296,179,35,1,2,21,52,67,0,76,251,8,21,0,0,0,5999,2802,2377,425,3197,955,480,1393,369,770,"Jakomäki","Helsinki","finland","00770 Helsinki finland",60.1666,24.9435
"00780 Tapaninvainio  (Helsinki)",7034,3638,3396,43,239,291,412,213,164,188,362,374,421,422,347,528,588,562,574,471,295,245,164,174,5689,1464,4225,555,2121,685,864,5689,27311,24247,821,3059,1809,1.55374e+08,3140,2.2,37,186,108,782,215,378,310,306,1488,885,2286,792,62,3125,49074,41919,417,1655,1053,1.53357e+08,1,1329,72,1257,3208,81.9,2058,1150,719,4,73,642,4,0,3,0,0,70,48,91,36,12,1,14,43,37,0,29,295,2,34,0,0,0,7036,3637,3381,256,3399,1087,466,1623,223,780,"Tapaninvainio","Helsinki","finland","00780 Helsinki finland",60.2581,24.9941
"00790 Viikki  (Helsinki)",10372,5570,4802,31,550,723,851,332,170,210,1096,1198,1103,975,646,646,500,368,283,292,175,112,77,65,7584,1592,5992,1311,2004,1213,1464,7584,22585,21684,1701,4063,1820,1.71287e+08,4714,2.2,29.4,700,536,1445,496,884,616,375,2706,573,1362,3314,38,4617,36902,31460,1105,2614,898,1.70376e+08,0,382,78,304,4945,63.1,447,4498,4294,11,95,4188,11,0,37,0,9,49,267,17,99,35,0,14,920,41,688,1757,288,40,22,0,0,0,10119,5500,5181,319,4619,2256,1107,847,409,790,"Viikki","Helsinki","finland","00790 Helsinki finland",60.2269,25.0088
"00800 Länsi-Herttoniemi  (Helsinki)",7090,3834,3256,42,205,254,312,156,119,146,522,580,599,515,408,536,503,502,413,386,280,207,197,250,6016,1842,4174,768,1788,655,963,6016,22439,19987,1172,3598,1246,1.34992e+08,4114,1.7,33.3,566,209,677,196,342,248,221,2358,1090,1439,2613,62,4090,33102,25880,1111,2267,712,1.35387e+08,0,443,40,403,4375,57.1,453,3922,1320,1,24,1295,1,0,1,0,0,23,41,12,45,30,3,29,84,34,0,116,805,24,72,0,0,0,7063,3773,3328,445,3290,864,514,1584,328,800,"Länsi-Herttoniemi","Helsinki","finland","00800 Helsinki finland",60.2032,25.0394
"00810 Herttoniemi  (Helsinki)",11200,5922,5278,37,463,488,661,310,209,229,830,1041,1058,917,748,908,786,700,620,510,306,201,129,86,8990,2282,6708,1100,2957,1175,1476,8990,25103,23134,1381,5249,2360,2.25675e+08,5776,1.9,33.1,666,424,1302,422,705,492,420,3517,972,1730,3944,102,5726,39094,32149,1020,3248,1458,2.23853e+08,1,280,86,194,6082,62.6,116,5966,3937,4,553,3380,4,0,346,0,0,207,911,60,156,326,87,157,246,505,48,304,405,55,120,0,0,0,11149,6465,5880,585,4684,1827,776,1593,488,810,"Herttoniemi","Helsinki","finland","00810 Helsinki finland",60.1931,25.0335
"00820 Roihuvuori  (Helsinki)",7254,3992,3262,41,225,277,352,172,133,161,566,517,648,528,450,567,536,454,407,343,249,257,211,201,6090,2005,4085,722,1941,666,756,6090,20709,19295,1176,3939,975,1.26116e+08,4116,1.7,31.2,552,188,746,202,372,284,261,2397,980,1753,2238,125,4105,30169,25922,1138,2455,512,1.23844e+08,0,160,52,108,4303,53.7,1,4302,985,1,65,919,1,0,4,0,0,61,51,19,46,6,0,22,31,18,0,348,312,13,53,0,0,0,7268,3763,3310,453,3505,994,555,1567,389,820,"Roihuvuori","Helsinki","finland","00820 Helsinki finland",60.1997,25.059
"00830 Tammisalo  (Helsinki)",2300,1212,1088,43,71,127,193,82,58,53,88,53,85,150,156,182,201,117,130,190,121,85,77,81,1721,282,1439,220,416,224,579,1721,52438,30306,281,581,859,9.02452e+07,916,2.5,45.4,17,7,292,64,136,138,115,282,349,778,104,34,905,99075,59968,100,292,513,8.9663e+07,41,366,30,336,992,111.5,808,184,124,1,19,104,1,0,0,0,0,19,11,19,3,2,0,5,20,9,0,2,26,1,6,0,0,0,2235,976,934,42,1259,428,140,583,108,830,"Tammisalo","Helsinki","finland","00830 Helsinki finland",60.1666,24.9435
